grupo, algorithm, domain, instance, cost,h0, generated, time, gen_per_sec
x, dfid, pancake28.txt, '25 12 4 9 13 5 6 20 19 8 26 15 7 24 0 3 1 2 23 27 22 10 14 16 18 11 17 21', 25, 25, 9240, 0.000545, 1.69541e+07
x, dfid, pancake28.txt, '9 8 21 27 24 1 7 3 13 14 12 17 5 22 15 18 16 20 10 0 4 26 2 25 11 19 6 23', 26, 26, 4925, 0.000295, 1.66949e+07
x, dfid, pancake28.txt, '18 2 7 13 11 19 24 21 22 23 4 20 25 17 10 16 6 5 0 8 15 9 14 3 12 26 1 27', 25, 24, 11500, 0.000674, 1.70623e+07
x, dfid, pancake28.txt, '26 19 21 9 1 5 22 16 0 18 23 4 27 3 6 11 25 13 8 17 24 2 15 20 12 7 10 14', 29, 28, 108036, 0.006204, 1.74139e+07
x, dfid, pancake28.txt, '25 8 27 15 17 18 16 20 6 5 13 19 14 24 3 7 9 10 0 23 11 2 22 26 4 12 21 1', 26, 25, 135257, 0.008143, 1.66102e+07
x, dfid, pancake28.txt, '1 27 15 9 6 5 19 4 3 18 21 20 26 17 22 8 23 16 0 13 25 11 2 12 14 10 7 24', 25, 25, 5634, 0.000344, 1.63779e+07
x, dfid, pancake28.txt, '3 26 8 6 5 16 25 12 23 20 10 21 13 0 22 19 17 11 7 4 15 14 1 9 24 2 18 27', 26, 25, 22683, 0.00131, 1.73153e+07
x, dfid, pancake28.txt, '25 3 27 14 20 0 19 17 6 21 1 15 22 4 10 5 12 24 7 8 26 11 2 9 16 13 23 18', 28, 27, 41810, 0.002396, 1.74499e+07
x, dfid, pancake28.txt, '15 3 22 14 24 9 10 27 19 25 17 26 23 8 11 20 7 21 1 18 0 13 16 4 2 6 12 5', 27, 27, 12832, 0.000751, 1.70866e+07
x, dfid, pancake28.txt, '15 17 6 27 1 19 20 16 23 3 12 0 25 22 18 5 4 10 14 24 26 13 2 8 21 7 11 9', 27, 26, 73940, 0.004395, 1.68237e+07
x, dfid, pancake28.txt, '14 22 25 9 6 18 17 4 1 27 8 5 11 15 3 12 13 20 16 10 26 2 7 19 21 24 0 23', 27, 26, 14540, 0.000945, 1.53862e+07
x, dfid, pancake28.txt, '15 22 8 23 17 5 25 19 24 6 11 3 21 4 26 1 27 16 14 7 2 20 13 0 9 10 18 12', 27, 27, 5192, 0.000311, 1.66945e+07
x, dfid, pancake28.txt, '24 15 18 2 20 17 22 8 26 12 4 7 9 16 1 5 14 27 0 19 11 3 10 6 13 25 21 23', 29, 28, 147299, 0.009467, 1.55592e+07
x, dfid, pancake28.txt, '16 15 19 25 23 7 17 22 5 4 0 24 9 14 11 10 1 18 13 3 6 26 2 27 8 20 12 21', 26, 25, 39862, 0.002536, 1.57185e+07
x, dfid, pancake28.txt, '1 7 12 23 14 8 22 4 18 25 11 10 6 17 13 21 24 15 5 16 20 27 2 3 19 9 0 26', 26, 26, 16677, 0.000964, 1.72998e+07
x, dfid, pancake28.txt, '5 4 21 23 14 20 0 10 13 9 16 1 22 2 25 27 12 8 17 6 26 7 24 19 3 18 11 15', 27, 27, 11489, 0.000702, 1.63661e+07
x, dfid, pancake28.txt, '5 14 16 8 15 21 11 4 17 27 0 18 13 20 23 19 6 2 7 1 25 24 22 26 10 12 9 3', 27, 27, 9837, 0.000577, 1.70485e+07
x, dfid, pancake28.txt, '2 22 24 16 6 10 27 14 5 20 21 13 4 25 23 0 17 11 7 12 8 3 26 1 19 9 18 15', 27, 27, 13367, 0.000778, 1.71812e+07
x, dfid, pancake28.txt, '20 0 21 2 3 9 1 12 24 14 27 4 17 19 15 18 22 5 7 16 10 6 13 25 23 26 8 11', 28, 27, 73994, 0.004291, 1.7244e+07
x, dfid, pancake28.txt, '25 15 11 14 4 12 7 8 10 21 19 3 18 2 0 6 22 24 5 1 13 16 9 27 20 17 26 23', 28, 27, 82039, 0.004693, 1.74811e+07
x, dfid, pancake28.txt, '6 22 12 0 26 8 27 7 20 15 16 13 1 14 17 24 21 4 9 19 5 23 11 2 3 25 18 10', 27, 26, 13765, 0.000815, 1.68896e+07
x, dfid, pancake28.txt, '15 0 6 9 8 25 2 16 26 1 14 12 13 5 27 23 17 11 10 20 4 21 24 7 19 22 18 3', 26, 25, 265557, 0.015901, 1.67006e+07
x, dfid, pancake28.txt, '7 25 16 24 18 19 14 5 21 15 12 11 6 0 23 26 1 22 13 17 8 9 2 4 10 27 20 3', 25, 25, 578, 4.6e-05, 1.25652e+07
x, dfid, pancake28.txt, '7 12 15 13 3 5 22 26 23 18 20 16 1 6 8 19 21 10 4 9 25 11 14 0 24 27 2 17', 28, 28, 67133, 0.003835, 1.75053e+07
x, dfid, pancake28.txt, '18 5 4 14 24 12 17 20 22 27 2 3 26 9 16 0 10 11 6 21 8 25 15 23 1 19 7 13', 26, 25, 14162, 0.000828, 1.71039e+07
x, dfid, pancake28.txt, '24 1 15 12 22 27 13 2 10 19 14 3 17 23 21 9 0 6 18 7 20 11 16 26 5 25 4 8', 28, 28, 2912, 0.000181, 1.60884e+07
x, dfid, pancake28.txt, '27 16 2 6 11 24 8 25 15 14 20 17 26 23 12 9 13 5 0 1 7 10 22 19 18 21 3 4', 25, 24, 17990, 0.00105, 1.71333e+07
x, dfid, pancake28.txt, '16 13 7 6 12 4 10 8 0 24 2 18 17 21 25 19 11 5 14 15 26 23 9 1 27 22 3 20', 26, 25, 79105, 0.004563, 1.73362e+07
x, dfid, pancake28.txt, '19 17 22 25 26 10 5 13 23 0 16 21 3 24 15 7 27 1 14 20 6 4 9 12 11 2 8 18', 27, 26, 61415, 0.003584, 1.71359e+07
x, dfid, pancake28.txt, '27 22 24 4 1 14 17 12 21 20 23 2 8 13 25 16 7 9 3 10 26 11 6 15 0 19 18 5', 27, 26, 264425, 0.015927, 1.66023e+07
x, dfid, pancake28.txt, '25 3 9 0 4 21 19 15 23 17 6 18 11 24 16 7 20 8 13 14 12 1 26 2 10 27 5 22', 27, 27, 29412, 0.001693, 1.73727e+07
x, dfid, pancake28.txt, '5 27 23 20 17 24 14 4 9 6 15 2 13 1 12 25 8 19 3 21 7 10 26 11 0 18 22 16', 29, 28, 244291, 0.013929, 1.75383e+07
x, dfid, pancake28.txt, '2 26 17 23 3 16 20 15 12 7 13 19 24 11 5 10 21 27 1 9 0 25 14 6 22 8 18 4', 28, 28, 29999, 0.001839, 1.63127e+07
x, dfid, pancake28.txt, '19 10 18 21 4 8 25 7 24 16 15 14 2 11 23 1 0 12 3 26 17 22 13 6 27 9 5 20', 26, 25, 222893, 0.013351, 1.66949e+07
x, dfid, pancake28.txt, '27 13 21 26 14 11 16 2 7 9 4 10 8 25 6 24 17 20 15 22 23 12 5 3 19 18 1 0', 25, 25, 1773, 0.000114, 1.55526e+07
x, dfid, pancake28.txt, '1 11 21 14 16 17 27 18 19 9 8 12 6 25 0 15 5 13 20 26 3 4 24 22 10 7 2 23', 25, 24, 34731, 0.002014, 1.72448e+07
x, dfid, pancake28.txt, '13 27 7 16 24 25 8 12 0 26 22 14 2 15 4 23 9 21 19 18 1 17 20 6 5 3 10 11', 24, 24, 2175, 0.000138, 1.57609e+07
x, dfid, pancake28.txt, '16 11 8 9 12 10 18 24 5 20 22 0 15 19 1 17 3 13 21 6 7 4 26 23 2 14 25 27', 25, 25, 9417, 0.00058, 1.62362e+07
x, dfid, pancake28.txt, '7 16 13 3 22 6 5 19 24 11 8 25 21 14 4 9 1 10 17 20 15 23 27 2 12 26 18 0', 28, 27, 169954, 0.009714, 1.74958e+07
x, dfid, pancake28.txt, '11 0 7 2 1 3 25 4 20 16 12 17 26 19 5 13 10 9 21 14 18 8 23 27 22 15 6 24', 27, 26, 91326, 0.005617, 1.62589e+07
x, dfid, pancake28.txt, '4 22 23 2 14 6 20 18 27 21 3 15 16 17 1 12 10 24 11 13 5 9 19 25 26 7 0 8', 26, 24, 1174994, 0.069455, 1.69173e+07
x, dfid, pancake28.txt, '7 5 27 2 22 16 25 26 13 23 3 17 15 21 12 24 10 9 14 19 1 4 8 0 18 20 6 11', 27, 26, 79062, 0.004553, 1.73648e+07
x, dfid, pancake28.txt, '19 27 21 25 12 11 5 20 9 14 6 2 1 26 16 8 22 7 18 15 0 24 10 13 3 4 23 17', 26, 25, 795490, 0.046476, 1.71161e+07
x, dfid, pancake28.txt, '4 24 26 18 23 7 2 3 6 0 12 8 15 25 21 17 5 1 13 22 16 10 20 27 11 14 9 19', 28, 27, 55925, 0.003207, 1.74384e+07
x, dfid, pancake28.txt, '19 5 0 15 13 18 17 27 20 4 1 21 26 11 24 23 10 3 8 16 25 22 14 12 2 7 9 6', 27, 26, 152765, 0.00896, 1.70497e+07
x, dfid, pancake28.txt, '24 14 2 0 18 6 25 22 7 5 10 12 16 1 11 20 19 8 4 13 21 23 27 3 15 17 26 9', 28, 27, 1241110, 0.072629, 1.70884e+07
x, dfid, pancake28.txt, '8 13 27 2 3 10 0 26 15 18 21 12 4 6 17 14 16 23 24 7 9 25 1 11 20 19 5 22', 26, 25, 683103, 0.039791, 1.71673e+07
x, dfid, pancake28.txt, '17 13 10 15 23 3 9 12 0 25 18 6 14 27 22 21 20 19 7 2 5 24 4 8 26 1 16 11', 25, 25, 282, 1.9e-05, 1.48421e+07
x, dfid, pancake28.txt, '19 6 1 22 25 21 8 5 27 12 24 3 7 23 17 10 9 4 11 14 0 26 15 18 20 13 2 16', 28, 27, 44939, 0.002637, 1.70417e+07
x, dfid, pancake28.txt, '24 6 5 2 18 4 23 15 22 14 11 27 26 17 10 20 16 3 8 13 7 1 21 19 25 12 0 9', 27, 26, 63876, 0.00366, 1.74525e+07
x, dfid, pancake28.txt, '25 26 0 27 6 3 18 15 16 4 8 17 23 1 9 5 21 2 19 12 11 7 10 20 13 14 24 22', 25, 24, 83881, 0.004835, 1.73487e+07
x, dfid, pancake28.txt, '21 14 1 10 22 18 2 25 8 27 15 6 5 12 0 24 17 4 20 19 11 23 13 7 3 16 26 9', 27, 26, 118759, 0.007066, 1.68071e+07
x, dfid, pancake28.txt, '27 5 9 1 24 16 15 21 22 11 25 2 13 10 18 12 20 17 6 26 19 4 0 8 23 3 7 14', 26, 26, 17230, 0.001226, 1.40538e+07
x, dfid, pancake28.txt, '25 3 14 12 1 16 20 21 24 15 2 23 6 11 22 17 10 13 8 0 19 7 18 5 27 9 4 26', 27, 27, 21510, 0.001246, 1.72632e+07
x, dfid, pancake28.txt, '24 10 11 26 8 27 0 6 15 25 5 1 14 7 17 13 21 2 23 4 3 12 9 16 22 19 20 18', 26, 25, 84520, 0.004873, 1.73446e+07
x, dfid, pancake28.txt, '1 12 25 22 14 4 3 24 27 11 2 5 21 6 9 26 7 19 17 18 13 8 0 15 16 20 10 23', 26, 25, 13255, 0.000774, 1.71253e+07
x, dfid, pancake28.txt, '19 14 4 6 23 15 2 1 0 8 7 22 17 5 12 10 25 18 21 26 9 3 11 13 27 20 24 16', 26, 25, 359696, 0.020813, 1.72823e+07
x, dfid, pancake28.txt, '21 1 16 17 15 14 20 27 25 4 8 22 24 9 10 11 6 23 5 13 0 19 18 12 2 7 3 26', 24, 23, 391733, 0.02283, 1.71587e+07
x, dfid, pancake28.txt, '7 18 27 20 11 8 9 15 3 26 16 5 14 21 4 23 2 1 22 25 0 13 10 6 17 19 12 24', 26, 26, 20277, 0.001177, 1.72277e+07
x, dfid, pancake28.txt, '5 19 11 16 0 18 8 25 27 21 2 24 20 7 9 10 1 22 6 15 26 23 4 14 13 17 12 3', 26, 26, 3528, 0.000215, 1.64093e+07
x, dfid, pancake28.txt, '27 0 24 8 18 4 9 2 14 21 1 11 22 20 10 19 25 7 12 23 6 5 26 16 13 15 17 3', 28, 27, 495029, 0.028811, 1.71819e+07
x, dfid, pancake28.txt, '26 24 17 7 21 4 20 14 13 10 3 27 9 16 18 1 23 19 2 15 8 12 0 5 22 6 25 11', 27, 27, 4495, 0.000271, 1.65867e+07
x, dfid, pancake28.txt, '15 3 2 19 11 14 13 22 26 20 17 1 0 6 16 12 7 24 9 4 21 8 27 18 5 23 10 25', 26, 25, 15474, 0.000905, 1.70983e+07
x, dfid, pancake28.txt, '4 18 2 24 21 14 17 13 7 15 26 22 19 6 27 1 11 25 20 0 10 8 3 12 5 9 23 16', 29, 28, 78722, 0.004502, 1.7486e+07
x, dfid, pancake28.txt, '15 5 7 24 4 3 18 1 13 17 10 26 16 22 19 25 14 6 27 2 8 11 0 20 23 9 12 21', 28, 27, 210741, 0.012503, 1.68552e+07
x, dfid, pancake28.txt, '20 9 2 16 25 13 10 14 0 21 24 22 17 11 3 6 18 1 15 26 27 5 23 8 7 19 12 4', 27, 26, 57884, 0.003317, 1.74507e+07
x, dfid, pancake28.txt, '23 24 21 10 12 2 18 16 19 27 13 20 11 17 6 1 3 7 4 14 0 15 8 5 25 9 26 22', 27, 27, 40956, 0.002348, 1.74429e+07
x, dfid, pancake28.txt, '10 5 7 18 13 3 19 16 20 8 15 12 6 21 1 22 9 25 27 23 14 24 0 17 4 2 26 11', 28, 28, 111692, 0.006367, 1.75423e+07
x, dfid, pancake28.txt, '7 23 25 22 0 1 26 11 6 14 17 5 16 20 2 4 21 18 12 19 3 13 9 15 24 8 27 10', 27, 27, 27307, 0.001619, 1.68666e+07
x, dfid, pancake28.txt, '7 10 8 1 9 2 24 5 12 25 20 6 26 14 17 4 19 0 18 13 22 27 3 11 16 23 21 15', 29, 28, 416056, 0.024467, 1.70048e+07
x, dfid, pancake28.txt, '1 3 15 9 13 11 17 22 21 26 18 24 25 20 8 6 7 2 23 27 19 12 10 4 16 14 0 5', 26, 25, 43256, 0.002523, 1.71447e+07
x, dfid, pancake28.txt, '24 7 10 15 22 9 13 19 1 4 0 27 14 23 11 6 20 12 5 25 2 18 8 16 3 17 21 26', 28, 28, 2069, 0.000133, 1.55564e+07
x, dfid, pancake28.txt, '4 13 15 11 1 8 14 19 7 2 20 17 3 18 9 6 12 22 21 10 5 25 16 0 26 27 24 23', 26, 25, 43386, 0.002498, 1.73683e+07
x, dfid, pancake28.txt, '2 24 20 27 22 19 7 8 0 21 6 13 4 3 15 16 5 17 25 14 23 26 12 9 11 10 18 1', 25, 24, 330989, 0.019569, 1.69139e+07
